# BoxNumber,N_stars,R_g[pc],Width_1sigma[pc],Error_1sigma,Width_SD[pc],Error_SD,Spur,Arm
0,1272,1628.0011953883163,291.6918152816128,5.253310856927337,443.8581966900524,0.6906568656069371,1,1
1,1131,1684.4398031849307,308.10191944303557,5.396422605653236,443.41901978816804,3.9673213880335547,1,1
2,951,1739.249768335703,331.5456916406088,5.821504784214165,245.81079119172932,0.5449161520627774,0,1
3,925,1792.2993411775913,335.0080966832963,6.61906870304318,249.67381325447468,0.9222345157025212,0,1
4,1046,1843.4894147581874,325.99378060367536,6.281013244641358,249.7997154020959,1.8907359762654865,0,1
5,1116,1892.747204736981,313.82463113769245,5.909063447348681,249.49487806491584,2.674786969357627,0,1
6,1123,1940.0212956784424,309.6693967806868,5.674334658782155,397.122703839422,3.3205058113621413,0,1
7,1048,1985.2777407569295,305.4794567260266,6.068876319081178,396.9191115006686,3.156641127002671,0,1
8,899,2028.4969754152517,321.07538563746846,6.651218339493731,297.65536103426757,3.1894644434177866,0,1
9,781,2069.6713621845265,325.0846053184835,7.628612930625493,199.89366751818147,1.1283141314864942,0,1
10,716,2108.803227067372,326.2817811031934,8.196785785170993,198.6869006644099,0.7380609130654245,0,1
11,731,2145.9032806334494,315.14766349451554,7.337634926648924,248.58232703150793,1.1499325122698745,0,1
12,788,2180.989341757252,321.56295830823296,7.102439056933045,299.0428954489496,1.5317940608720348,0,1
13,823,2214.0853006900143,324.14054442756816,7.175095629876271,299.636761000374,1.367137173158866,0,1
14,885,2245.2202723920213,310.38737793698226,6.8815751981976305,349.43830886665546,2.4398726742401657,0,1
15,929,2274.4279018844377,292.06779211784965,6.98897109707483,348.5673071345461,0.28287452496945725,0,1
16,933,2301.7457916548606,296.865598454561,6.767126152290422,348.88731053749234,0.6095355093394413,0,1
17,1011,2327.2150274983132,301.9619944588996,5.948284474316852,397.36154256615805,1.6947142138287705,0,1
18,1229,2350.879784065384,305.6826864659351,5.022627296649201,499.29026687225337,1.709153011539286,1,1
19,1337,2372.786995173,305.1056658373023,4.717771396733484,449.1887912873211,1.7755014504507236,1,1
20,1411,2392.986076873501,299.2556106028524,4.683095836311942,497.9606298021222,4.247917982443382,1,1
